Unnamed: 0.1,Unnamed: 0,French,English
1,1,la,THE
2,2,et,in
3,3,les,A
4,4,des,of
5,5,en,a
6,6,du,East
7,7,une,For
9,9,est,In
10,10,pour,has
11,11,dans,more
12,12,a,not
13,13,plus,on
14,14,pas,born
15,15,au,himself
16,16,se,he
17,17,Le,are
18,18,ce,There
19,19,il,THE
20,20,sont,Or
21,21,ou,He
22,22,avec,to
25,25,d'un,of a
26,26,En,have
27,27,cette,his
28,28,d'une,but
29,29,ses,we
31,31,comme,We
32,32,on,its
33,33,nous,do
34,34,sa,summer
35,35,Mais,Also
36,36,fait,their
37,37,aussi,can
38,38,peut,two
40,40,y,years
41,41,deux,L
42,42,A,Again
43,43,ans,is not
44,44,encore,d
45,45,n'est,For
46,46,marché,SO
47,47,d,course
48,48,Pour,that he
50,50,qu'il,It is
51,51,moins,And
52,52,sans,if
53,53,C'est,between
55,55,si,This
56,56,entre,TO DO
57,57,Un,She
58,58,Ce,It is
59,59,faire,little
60,60,peu,price
61,61,vous,We
62,62,Une,of which
63,63,prix,him
64,64,dont,In
65,65,lui,effect
66,66,Dans,case
67,67,pays,millions
68,68,cas,Belgium
69,69,De,BEF
70,70,Belgique,their
71,71,mois,years
72,72,leurs,time
73,73,années,Thus
74,74,groupe,Company
75,75,société,either
76,76,depuis,must
77,77,soit,times
78,78,faut,a few
79,79,quelques,F
80,80,sera,against
81,81,entreprises,francs
83,83,contre,n / A
85,85,je,This
86,86,n'a,last
87,87,Cette,If
89,89,s'est,world
90,90,chez,SO
91,91,L,below
92,92,monde,actions
93,93,alors,others
94,94,sous,At
95,95,actions,they
96,96,autres,stay
97,97,Au,three
98,98,ils,No
99,99,trois,must
100,100,non,new
101,101,notre,billions
102,102,doit,Before
103,103,nouveau,example
104,104,avant,Belgian
105,105,compte,s
106,106,belge,new
107,107,premier,She
108,108,s,one
109,109,nouvelle,term
110,110,Elle,had
111,111,l'on,products
112,112,terme,that
113,113,avait,others
114,114,produits,END
115,115,d'autres,profit
116,116,fin,all
117,117,niveau,work
118,118,bénéfice,part
119,119,toute,too much
120,120,travail,increase
121,121,partie,sector
122,122,trop,share
123,123,hausse,a lot
125,125,part,value
126,126,beaucoup,growth
127,127,valeur,USD
128,128,croissance,Today
129,129,rapport,year
130,130,USD,base
131,132,année,during
132,133,base,towards
133,134,Bourse,often
134,135,vers,the company
135,136,vie,can
136,137,l'entreprise,Good
139,140,bon,number
140,141,surtout,funds
141,142,toutes,point
142,144,fonds,day
143,145,grande,to have
144,146,jour,our
145,147,va,some
146,148,nos,big
147,149,quelque,people
148,150,place,several
149,151,grand,some
150,152,personnes,business
151,153,plusieurs,allow
152,154,certains,policy
153,155,d'affaires,this
154,156,permet,each
155,157,politique,figure
156,158,cet,could
157,159,chaque,should
158,160,chiffre,product
159,161,pourrait,the year
160,162,devrait,By
162,164,l'année,better
163,165,rien,quality
165,167,celui,They
167,169,France,it is about
168,170,Ces,Never
169,172,vente,action
170,173,production,With
171,174,action,results
172,175,baisse,Of the
173,176,Avec,your
174,177,résultats,risk
175,178,Des,beginning
177,180,risque,year
178,181,début,see
179,182,an,that one
180,183,voir,that
181,185,qu'un,moment
182,186,elles,question
185,189,question,doubt
186,190,titre,little
187,191,doute,Besides
188,192,long,notably
189,193,petit,FB
190,194,d'ailleurs,right
193,197,droit,However
194,199,cependant,that they
195,200,Etats-Unis,days
196,201,qu'ils,that
197,202,l'action,request
198,203,jours,Belgians
199,204,celle,those
200,205,demande,services
201,206,belges,Good
202,207,ceux,will be
203,208,services,economic
205,210,économique,situation
206,211,raison,From
207,212,car,business
208,213,situation,me
209,214,Depuis,news
210,215,entreprise,there is no
211,216,me,possible
212,217,nouvelles,however
213,218,possible,new
214,219,toutefois,according to
215,220,tant,because
216,221,nouveaux,said
218,223,parce,that one
219,224,dit,companies
220,225,seul,come
221,226,qu'une,until
222,227,sociétés,four
223,228,vient,markets
224,229,jusqu',bet
225,230,quatre,only
226,231,marchés,Van
227,232,mise,seems
228,233,Van,All
230,235,clients,would be
231,236,Tout,strong
232,237,Cela,costs
233,238,fort,management
235,240,gestion,capital
236,241,font,government
237,242,quand,#VALUE!
238,243,gouvernement,#VALUE!
